Search Method,Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support
Grid Search,,,,PC2 Classification Report,,,accuracy,0.98630137,0.98630137,0.98630137,0.98630137
Grid Search,,,,PC2 Classification Report,,,macro avg,0.986520126,0.986154785,0.98629108,292
Grid Search,,,,PC2 Classification Report,,,weighted avg,0.986388872,0.98630137,0.986298797,292
Grid Search,PC3,Accuracy,0.936507937,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,Precision,0.91959799,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,Recall,0.958115183,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,F1 Score,0.938461538,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,AUC,0.984433183,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,colsample_bytree,0.8,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,max_depth,7,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,min_child_samples,5,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,num_leaves,40,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,PC3 Classification Report,,,0,0.955307263,0.914438503,0.93442623,187
Grid Search,,,,PC3 Classification Report,,,1,0.91959799,0.958115183,0.938461538,191
Grid Search,,,,PC3 Classification Report,,,accuracy,0.936507937,0.936507937,0.936507937,0.936507937
Grid Search,,,,PC3 Classification Report,,,macro avg,0.937452626,0.936276843,0.936443884,378
